Requirement,Conformance,Actor,Conditionality,sub-requirements,URL,*_(status_400),*_(status_401/4xx),*_(status_403),*_(status_404),*_(status_410),Req Set,Id,Sub-Requirement(s)
"""PractitionerRole defines a role for a particular practitioner, and associates it with locations, specialties, an organization, and networks.""",SHALL,Server,False,NONE,Practitioners and Practitioner Roles section,,,,,,,,
"""The Plan-Net Server **SHALL** ... Implement the RESTful behavior according to the FHIR specification.""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net/#fhir-restful-capabilities,,,,,,,,
"""The Plan-Net Server **SHALL** ... Return the following response classes:",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net/#fhir-restful-capabilities,invalid parameter,unauthorized request,insufficient scope,unknown resource,"deleted resource.""",,,
"""The Plan-Net Server **SHALL** ... Support json source formats for all Plan-Net interactions.""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net/#fhir-restful-capabilities,,,,,,,,
"""The Plan-Net Server **SHALL** ... Identify the Plan-Net profiles supported as part of the FHIR `meta.profile` attribute for each instance.""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net/#fhir-restful-capabilities,,,,,,,,
"""The Plan-Net Server **SHALL** ... Support the searchParameters on each profile individually and in combination.""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net/#fhir-restful-capabilities,,,,,,,,
"""The Plan-Net Server **SHALL** ... Support forward and reverse chaining on all search parameters that specify the 'chain' property""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net/#fhir-restful-capabilities,,,,,,,,
"""The Plan-Net Server **SHOULD** ... Support xml source formats for all Plan-Net interactions.""",SHOULD,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net/#fhir-restful-capabilities,,,,,,,,
"""A server **SHALL** reject any unauthorized requests by returning an `HTTP 401` unauthorized response code.""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net/#security,,,,,,,,
"""SHOULD support `vread`.""",SHOULD,Server,False,NONE,Location - Profile Interaction Summary,,,,,,,,
"""A Server SHALL be capable of returning a Location resource using: `GET [base]/Location/[id]`""",SHALL,Server,False,NONE,Location - Fetch and Search Criteria,,,,,,,,
"""A Server SHOULD be capable of returning a Location resource using: `GET [base]/Location/[id]/_history/vid`""",SHOULD,Server,False,NONE,Location - Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes: Location:endpoint - `GET [base]/Location?[parameter=value]&_include=Location:endpoint`""",SHALL,Server,False,NONE,Location - Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes: Location:organization - `GET [base]/Location?[parameter=value]&_include=Location:organization`""",SHALL,Server,False,NONE,Location - Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes: Location:partof - `GET [base]/Location?[parameter=value]&_include=Location:partof`""",SHALL,Server,False,NONE,Location - Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes: HealthcareService:location - `GET [base]/Location?[parameter=value]&_revinclude=HealthcareService:location`""",SHALL,Server,False,NONE,Location - Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes: InsurancePlan:coverage-area - `GET [base]/Location?[parameter=value]&_revinclude=InsurancePlan:coverage-area`""",SHALL,Server,False,NONE,Location - Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes: OrganizationAffiliation:location - `GET [base]/Location?[parameter=value]&_revinclude=OrganizationAffiliation:location`""",SHALL,Server,False,NONE,Location - Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes: PractitionerRole:location - `GET [base]/Location?[parameter=value]&_revinclude=PractitionerRole:location`""",SHALL,Server,False,NONE,Location - Fetch and Search Criteria,,,,,,,,
"""SHALL [support] [partof](SearchParameter-location-partof.html)   reference   `GET [base]/Location?partof=[partof]`""",SHALL,Server,False,NONE,Location - Search Parameter Summary,,,,,,,,
"""SHALL [support] [organization](SearchParameter-location-organization.html)   reference   `GET [base]/Location?organization=[organization]`""",SHALL,Server,False,NONE,Location - Search Parameter Summary,,,,,,,,
"""SHALL [support] [endpoint](SearchParameter-location-endpoint.html)   reference   `GET [base]/Location?endpoint=[endpoint]`""",SHALL,Server,False,NONE,Location - Search Parameter Summary,,,,,,,,
"""SHALL [support] [address-city](SearchParameter-location-address-city.html)   string   `GET [base]/Location?address-city=[address-city]`""",SHALL,Server,False,NONE,Location - Search Parameter Summary,,,,,,,,
"""SHALL [support] [address-state](SearchParameter-location-address-state.html)   string   `GET [base]/Location?address-state=[address-state]`""",SHALL,Server,False,NONE,Location - Search Parameter Summary,,,,,,,,
"""SHALL [support] [address-postalcode](SearchParameter-location-address-postalcode.html)   string   `GET [base]/Location?address-postalcode=[address-postalcode]`""",SHALL,Server,False,NONE,Location - Search Parameter Summary,,,,,,,,
"""SHALL [support] [address](SearchParameter-location-address.html)   string   `GET [base]/Location?address=[address]`""",SHALL,Server,False,NONE,Location - Search Parameter Summary,,,,,,,,
"""SHALL [support] [type](SearchParameter-location-type.html)   token   `GET [base]/Location?type=[system] [code]`""",SHALL,Server,False,NONE,Location - Search Parameter Summary,,,,,,,,
"""SHALL [support] [_id](http://hl7.org/fhir/R4/search.html)   token   `GET [base]/Location?_id=[id]`""",SHALL,Server,False,NONE,Location - Search Parameter Summary,,,,,,,,
"""SHALL [support] [_lastUpdated](http://hl7.org/fhir/R4/search.html)   date   `GET [base]/Location?_lastUpdated=[_lastUpdated]`""",SHALL,Server,False,NONE,Location - Search Parameter Summary,,,,,,,,
"""SHALL support `search-type`, `read`.""",SHALL,Server,False,NONE,Organization - Profile Interaction Summary,,,,,,,,
"""SHOULD support `vread`.""",SHOULD,Server,False,NONE,Organization - Profile Interaction Summary,,,,,,,,
"""A Server SHALL be capable of returning a Organization resource using: `GET [base]/Organization/[id]`""",SHALL,Server,False,NONE,Organization - Fetch and Search Criteria,,,,,,,,
"""A Server SHOULD be capable of returning a Organization resource using: `GET [base]/Organization/[id]/_history/vid`""",SHOULD,Server,False,NONE,Organization - Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes: Organization:partof - `GET [base]/Organization?[parameter=value]&_include=Organization:partof`""",SHALL,Server,False,NONE,Organization - Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes: Organization:endpoint - `GET [base]/Organization?[parameter=value]&_include=Organization:endpoint`""",SHALL,Server,False,NONE,Organization - Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes: Organization:coverage-area - `GET [base]/Organization?[parameter=value]&_include=Organization:coverage-area`""",SHALL,Server,False,NONE,Organization - Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes: Endpoint:organization - `GET [base]/Organization?[parameter=value]&_revinclude=Endpoint:organization`""",SHALL,Server,False,NONE,Organization - Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes: HealthcareService:organization - `GET [base]/Organization?[parameter=value]&_revinclude=HealthcareService:organization`""",SHALL,Server,False,NONE,Organization - Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes: InsurancePlan:administered-by - `GET [base]/Organization?[parameter=value]&_revinclude=InsurancePlan:administered-by`""",SHALL,Server,False,NONE,Organization - Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes: InsurancePlan:owned-by - `GET [base]/Organization?[parameter=value]&_revinclude=InsurancePlan:owned-by`""",SHALL,Server,False,NONE,Organization - Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes: OrganizationAffiliation:primary-organization - `GET [base]/Organization?[parameter=value]&_revinclude=OrganizationAffiliation:primary-organization`""",SHALL,Server,False,NONE,Organization - Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes: PractitionerRole:organization - `GET [base]/Organization?[parameter=value]&_revinclude=PractitionerRole:organization`""",SHALL,Server,False,NONE,Organization - Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes: PractitionerRole:network - `GET [base]/Organization?[parameter=value]&_revinclude=PractitionerRole:network`""",SHALL,Server,False,NONE,Organization - Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes: OrganizationAffiliation:participating-organization - `GET [base]/Organization?[parameter=value]&_revinclude=OrganizationAffiliation:participating-organization`""",SHALL,Server,False,NONE,Organization - Fetch and Search Criteria,,,,,,,,
"""SHALL [support] [partof](SearchParameter-organization-partof.html)   reference   `GET [base]/Organization?partof=[partof]`""",SHALL,Server,False,NONE,Organization - Search Parameter Summary,,,,,,,,
"""SHALL [support] [endpoint](SearchParameter-organization-endpoint.html)   reference   `GET [base]/Organization?endpoint=[endpoint]`""",SHALL,Server,False,NONE,Organization - Search Parameter Summary,,,,,,,,
"""SHALL [support] [address](SearchParameter-organization-address.html)   string   `GET [base]/Organization?address=[address]`""",SHALL,Server,False,NONE,Organization - Search Parameter Summary,,,,,,,,
"""SHALL [support] [name](SearchParameter-organization-name.html)   string   `GET [base]/Organization?name=[name]`""",SHALL,Server,False,NONE,Organization - Search Parameter Summary,,,,,,,,
"""SHALL [support] [_id](http://hl7.org/fhir/R4/search.html)   token   `GET [base]/Organization?_id=[id]`""",SHALL,Server,False,NONE,Organization - Search Parameter Summary,,,,,,,,
"""SHALL [support] [_lastUpdated](http://hl7.org/fhir/R4/search.html)   date   `GET [base]/Organization?_lastUpdated=[_lastUpdated]`""",SHALL,Server,False,NONE,Organization - Search Parameter Summary,,,,,,,,
"""SHALL [support] [type](SearchParameter-organization-type.html)   token   `GET [base]/Organization?type=[system] [code]`""",SHALL,Server,False,NONE,Organization - Search Parameter Summary,,,,,,,,
"""SHALL [support] [coverage-area](SearchParameter-organization-coverage-area.html)   reference   `GET [base]/Organization?coverage-area=[coverage-area]`""",SHALL,Server,False,NONE,Organization - Search Parameter Summary,,,,,,,,
"""SHOULD support ... `vread`""",SHOULD,Server,False,NONE,OrganizationAffiliation Profile Interaction Summary,,,,,,,,
"""A Server SHALL be capable of returning a OrganizationAffiliation resource using: `GET [base]/OrganizationAffiliation/[id]`""",SHALL,Server,False,NONE,OrganizationAffiliation Fetch and Search Criteria,,,,,,,,
"""A Server SHOULD be capable of returning a OrganizationAffiliation resource using: `GET [base]/OrganizationAffiliation/[id]/_history/vid`""",SHOULD,Server,False,NONE,OrganizationAffiliation Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes: OrganizationAffiliation:primary-organization - `GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:primary-organization`""",SHALL,Server,False,NONE,OrganizationAffiliation Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes: OrganizationAffiliation:participating-organization - `GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:participating-organization`""",SHALL,Server,False,NONE,OrganizationAffiliation Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes: OrganizationAffiliation:location - `GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:location`""",SHALL,Server,False,NONE,OrganizationAffiliation Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes: OrganizationAffiliation:service - `GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:service`""",SHALL,Server,False,NONE,OrganizationAffiliation Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes: OrganizationAffiliation:endpoint - `GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:endpoint`""",SHALL,Server,False,NONE,OrganizationAffiliation Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes: OrganizationAffiliation:network - `GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:network`""",SHALL,Server,False,NONE,OrganizationAffiliation Fetch and Search Criteria,,,,,,,,
"""[Server] SHALL ... [support] [primary-organization](SearchParameter-organizationaffiliation-primary-organization.html) ... `GET [base]/OrganizationAffiliation?primary-organization=[primary-organization]`""",SHALL,Server,False,NONE,OrganizationAffiliation Search Parameter Summary,,,,,,,,
"""[Server] SHALL ... [support] [participating-organization](SearchParameter-organizationaffiliation-participating-organization.html) ... `GET [base]/OrganizationAffiliation?participating-organization=[participating-organization]`""",SHALL,Server,False,NONE,OrganizationAffiliation Search Parameter Summary,,,,,,,,
"""[Server] SHALL ... [support] [location](SearchParameter-organizationaffiliation-location.html) ... `GET [base]/OrganizationAffiliation?location=[location]`""",SHALL,Server,False,NONE,OrganizationAffiliation Search Parameter Summary,,,,,,,,
"""[Server] SHALL ... [support] [service](SearchParameter-organizationaffiliation-service.html) ... `GET [base]/OrganizationAffiliation?service=[service]`""",SHALL,Server,False,NONE,OrganizationAffiliation Search Parameter Summary,,,,,,,,
"""[Server] SHALL ... [support] [network](SearchParameter-organizationaffiliation-network.html) ... `GET [base]/OrganizationAffiliation?network=[network]`""",SHALL,Server,False,NONE,OrganizationAffiliation Search Parameter Summary,,,,,,,,
"""[Server] SHALL ... [support] [endpoint](SearchParameter-organizationaffiliation-endpoint.html) ... `GET [base]/OrganizationAffiliation?endpoint=[endpoint]`""",SHALL,Server,False,NONE,OrganizationAffiliation Search Parameter Summary,,,,,,,,
"""[Server] SHALL ... [support] [role](SearchParameter-organizationaffiliation-role.html) ... `GET [base]/OrganizationAffiliation?role=[system] [code]`""",SHALL,Server,False,NONE,OrganizationAffiliation Search Parameter Summary,,,,,,,,
"""[Server] SHALL ... [support] [specialty](SearchParameter-organizationaffiliation-specialty.html) ... `GET [base]/OrganizationAffiliation?specialty=[system] [code]`""",SHALL,Server,False,NONE,OrganizationAffiliation Search Parameter Summary,,,,,,,,
"""[Server] SHALL ... [support] [_id](http://hl7.org/fhir/R4/search.html) ... `GET [base]/OrganizationAffiliation?_id=[id]`""",SHALL,Server,False,NONE,OrganizationAffiliation Search Parameter Summary,,,,,,,,
"""[Server] SHALL ... [support] [_lastUpdated](http://hl7.org/fhir/R4/search.html) ... `GET [base]/OrganizationAffiliation?_lastUpdated=[_lastUpdated]`""",SHALL,Server,False,NONE,OrganizationAffiliation Search Parameter Summary,,,,,,,,
"""SHALL support ... `search-type`, `read`""",SHALL,Server,False,NONE,Practitioner Profile Interaction Summary,,,,,,,,
"""SHOULD support ... `vread`""",SHOULD,Server,False,NONE,Practitioner Profile Interaction Summary,,,,,,,,
"""A Server SHALL be capable of returning a Practitioner resource using: `GET [base]/Practitioner/[id]`""",SHALL,Server,False,NONE,Practitioner Fetch and Search Criteria,,,,,,,,
"""A Server SHOULD be capable of returning a Practitioner resource using: `GET [base]/Practitioner/[id]/_history/vid`""",SHOULD,Server,False,NONE,Practitioner Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes: PractitionerRole:practitioner - `GET [base]/Practitioner?[parameter=value]&_revinclude=PractitionerRole:practitioner`""",SHALL,Server,False,NONE,Practitioner Fetch and Search Criteria,,,,,,,,
"""[Server] SHALL ... [support] [name](SearchParameter-practitioner-name.html) ... `GET [base]/Practitioner?name=[name]`""",SHALL,Server,False,NONE,Practitioner Search Parameter Summary,,,,,,,,
"""[Server] SHALL ... [support] [_id](http://hl7.org/fhir/R4/search.html) ... `GET [base]/Practitioner?_id=[id]`""",SHALL,Server,False,NONE,Practitioner Search Parameter Summary,,,,,,,,
"""[Server] SHALL ... [support] [_lastUpdated](http://hl7.org/fhir/R4/search.html) ... `GET [base]/Practitioner?_lastUpdated=[_lastUpdated]`""",SHALL,Server,False,NONE,Practitioner Search Parameter Summary,,,,,,,,
"""[Server] SHALL ... [support] [family](SearchParameter-practitioner-family-name.html) ... `GET [base]/Practitioner?family=[family]`""",SHALL,Server,False,NONE,Practitioner Search Parameter Summary,,,,,,,,
"""[Server] SHALL ... [support] [given](SearchParameter-practitioner-given-name.html) ... `GET [base]/Practitioner?given=[given]`""",SHALL,Server,False,NONE,Practitioner Search Parameter Summary,,,,,,,,
"""SHOULD support ... `vread`""",SHOULD,Server,False,NONE,PractitionerRole/Profile Interaction Summary,,,,,,,,
"""A Server SHALL be capable of returning a PractitionerRole resource using: `GET [base]/PractitionerRole/[id]`""",SHALL,Server,False,NONE,PractitionerRole/Fetch and Search Criteria,,,,,,,,
"""A Server SHOULD be capable of returning a PractitionerRole resource using: `GET [base]/PractitionerRole/[id]/_history/vid`""",SHOULD,Server,False,NONE,PractitionerRole/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes: PractitionerRole:practitioner - `GET [base]/PractitionerRole?[parameter=value]&_include=PractitionerRole:practitioner`""",SHALL,Server,False,NONE,PractitionerRole/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes: PractitionerRole:organization - `GET [base]/PractitionerRole?[parameter=value]&_include=PractitionerRole:organization`""",SHALL,Server,False,NONE,PractitionerRole/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes: PractitionerRole:location - `GET [base]/PractitionerRole?[parameter=value]&_include=PractitionerRole:location`""",SHALL,Server,False,NONE,PractitionerRole/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes: PractitionerRole:service - `GET [base]/PractitionerRole?[parameter=value]&_include=PractitionerRole:service`""",SHALL,Server,False,NONE,PractitionerRole/Fetch and Search Criteria,,,,,,,,
