Requirement,Conformance,Actor,Conditionality,sub-requirements,URL,Req Set,Id,Sub-Requirement(s)
"""SHOULD support ... `vread`.""",SHOULD,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-Endpoint.html - Profile Interaction Summary,,,
"""A Server SHALL be capable of returning a Endpoint resource using: `GET [base]/Endpoint/[id]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-Endpoint.html - Fetch and Search Criteria,,,
"""A Server SHOULD be capable of returning a Endpoint resource using: `GET [base]/Endpoint/[id]/_history/vid`""",SHOULD,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-Endpoint.html - Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: Endpoint:organization - `GET [base]/Endpoint?[parameter=value]&_include=Endpoint:organization`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-Endpoint.html - Fetch and Search Criteria,,,
"""SHALL ... [support search parameter] [organization](SearchParameter-endpoint-organization.html) ... `GET [base]/Endpoint?organization=[organization]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-Endpoint.html - Search Parameter Summary,,,
"""SHALL ... [support search parameter] [_id](http://hl7.org/fhir/R4/search.html) ... `GET [base]/Endpoint?_id=[id]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-Endpoint.html - Search Parameter Summary,,,
"""SHALL ... [support search parameter] [_lastUpdated](http://hl7.org/fhir/R4/search.html) ... `GET [base]/Endpoint?_lastUpdated=[_lastUpdated]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-Endpoint.html - Search Parameter Summary,,,
"""SHALL support ... `search-type`, `read`.""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html - Profile Interaction Summary,,,
"""SHOULD support ... `vread`.""",SHOULD,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html - Profile Interaction Summary,,,
"""A Server SHALL be capable of returning a HealthcareService resource using: `GET [base]/HealthcareService/[id]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html - Fetch and Search Criteria,,,
"""A Server SHOULD be capable of returning a HealthcareService resource using: `GET [base]/HealthcareService/[id]/_history/vid`""",SHOULD,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html - Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: HealthcareService:location - `GET [base]/HealthcareService?[parameter=value]&_include=HealthcareService:location`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html - Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: HealthcareService:coverage-area - `GET [base]/HealthcareService?[parameter=value]&_include=HealthcareService:coverage-area`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html - Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: HealthcareService:organization - `GET [base]/HealthcareService?[parameter=value]&_include=HealthcareService:organization`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html - Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: HealthcareService:endpoint - `GET [base]/HealthcareService?[parameter=value]&_include=HealthcareService:endpoint`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html - Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _revincludes: PractitionerRole:service - `GET [base]/HealthcareService?[parameter=value]&_revinclude=PractitionerRole:service`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html - Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _revincludes: OrganizationAffiliation:service - `GET [base]/HealthcareService?[parameter=value]&_revinclude=OrganizationAffiliation:service`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html - Fetch and Search Criteria,,,
"""SHALL ... [support search parameter] [location](SearchParameter-healthcareservice-location.html) ... `GET [base]/HealthcareService?location=[location]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html - Search Parameter Summary,,,
"""SHALL ... [support search parameter] [coverage-area](SearchParameter-healthcareservice-coverage-area.html) ... `GET [base]/HealthcareService?coverage-area=[coverage-area]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html - Search Parameter Summary,,,
"""SHALL ... [support search parameter] [organization](SearchParameter-healthcareservice-organization.html) ... `GET [base]/HealthcareService?organization=[organization]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html - Search Parameter Summary,,,
"""SHALL ... [support search parameter] [endpoint](SearchParameter-healthcareservice-endpoint.html) ... `GET [base]/HealthcareService?endpoint=[endpoint]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html - Search Parameter Summary,,,
"""SHALL ... [support search parameter] [name](SearchParameter-healthcareservice-name.html) ... `GET [base]/HealthcareService?name=[name]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html - Search Parameter Summary,,,
"""SHALL ... [support search parameter] [service-category](SearchParameter-healthcareservice-service-category.html) ... `GET [base]/HealthcareService?service-category=[system] [code]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html - Search Parameter Summary,,,
"""SHALL ... [support search parameter] [service-type](SearchParameter-healthcareservice-service-type.html) ... `GET [base]/HealthcareService?service-type=[system] [code]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html - Search Parameter Summary,,,
"""SHALL ... [support search parameter] [specialty](SearchParameter-healthcareservice-specialty.html) ... `GET [base]/HealthcareService?specialty=[system] [code]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html - Search Parameter Summary,,,
"""SHALL ... [support search parameter] [_id](http://hl7.org/fhir/R4/search.html) ... `GET [base]/HealthcareService?_id=[id]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html - Search Parameter Summary,,,
"""SHALL ... [support search parameter] [_lastUpdated](http://hl7.org/fhir/R4/search.html) ... `GET [base]/HealthcareService?_lastUpdated=[_lastUpdated]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html - Search Parameter Summary,,,
"""SHALL support ... `search-type`, `read`.""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html - Profile Interaction Summary,,,
"""SHOULD support ... `vread`.""",SHOULD,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html - Profile Interaction Summary,,,
"""A Server SHALL be capable of returning a InsurancePlan resource using: `GET [base]/InsurancePlan/[id]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html - Fetch and Search Criteria,,,
"""A Server SHOULD be capable of returning a InsurancePlan resource using: `GET [base]/InsurancePlan/[id]/_history/vid`""",SHOULD,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html - Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: InsurancePlan:administered-by - `GET [base]/InsurancePlan?[parameter=value]&_include=InsurancePlan:administered-by`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html - Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: InsurancePlan:owned-by - `GET [base]/InsurancePlan?[parameter=value]&_include=InsurancePlan:owned-by`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html - Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: InsurancePlan:coverage-area - `GET [base]/InsurancePlan?[parameter=value]&_include=InsurancePlan:coverage-area`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html - Fetch and Search Criteria,,,
"""SHALL ... [support search parameter] [administered-by](SearchParameter-insuranceplan-administered-by.html) ... `GET [base]/InsurancePlan?administered-by=[administered-by]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html - Search Parameter Summary,,,
"""SHALL ... [support search parameter] [owned-by](SearchParameter-insuranceplan-owned-by.html) ... `GET [base]/InsurancePlan?owned-by=[owned-by]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html - Search Parameter Summary,,,
"""SHALL ... [support search parameter] [coverage-area](SearchParameter-insuranceplan-coverage-area.html) ... `GET [base]/InsurancePlan?coverage-area=[coverage-area]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html - Search Parameter Summary,,,
"""SHALL ... [support search parameter] [name](SearchParameter-insuranceplan-name.html) ... `GET [base]/InsurancePlan?name=[name]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html - Search Parameter Summary,,,
"""SHALL ... [support search parameter] [plan-type](SearchParameter-insuranceplan-plan-type.html) ... `GET [base]/InsurancePlan?plan-type=[system] [code]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html - Search Parameter Summary,,,
"""SHALL ... [support search parameter] [identifier](SearchParameter-insuranceplan-identifier.html) ... `GET [base]/InsurancePlan?identifier=[system] [code]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html - Search Parameter Summary,,,
"""SHALL ... [support search parameter] [_id](http://hl7.org/fhir/R4/search.html) ... `GET [base]/InsurancePlan?_id=[id]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html - Search Parameter Summary,,,
"""SHALL ... [support search parameter] [_lastUpdated](http://hl7.org/fhir/R4/search.html) ... `GET [base]/InsurancePlan?_lastUpdated=[_lastUpdated]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html - Search Parameter Summary,,,
"""SHALL ... [support search parameter] [type](SearchParameter-insuranceplan-type.html) ... `GET [base]/InsurancePlan?type=[system] [code]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html - Search Parameter Summary,,,
"""SHOULD support ... `vread`.""",SHOULD,Server,False,NONE,Location/Profile Interaction Summary,,,
"""A Server SHALL be capable of returning a Location resource using: `GET [base]/Location/[id]`""",SHALL,Server,False,NONE,Location/Fetch and Search Criteria,,,
"""A Server SHOULD be capable of returning a Location resource using: `GET [base]/Location/[id]/_history/vid`""",SHOULD,Server,False,NONE,Location/Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: Location:endpoint - `GET [base]/Location?[parameter=value]&_include=Location:endpoint` ... Location:organization - `GET [base]/Location?[parameter=value]&_include=Location:organization` ... Location:partof - `GET [base]/Location?[parameter=value]&_include=Location:partof`""",SHALL,Server,False,NONE,Location/Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _revincludes: ... HealthcareService:location - `GET [base]/Location?[parameter=value]&_revinclude=HealthcareService:location` ... InsurancePlan:coverage-area - `GET [base]/Location?[parameter=value]&_revinclude=InsurancePlan:coverage-area` ... OrganizationAffiliation:location - `GET [base]/Location?[parameter=value]&_revinclude=OrganizationAffiliation:location` ... PractitionerRole:location - `GET [base]/Location?[parameter=value]&_revinclude=PractitionerRole:location`""",SHALL,Server,False,NONE,Location/Fetch and Search Criteria,,,
"""`GET [base]/Location?partof=[partof]`""",SHALL,Server,False,NONE,Location/Search Parameter Summary/partof,,,
"""`GET [base]/Location?organization=[organization]`""",SHALL,Server,False,NONE,Location/Search Parameter Summary/organization,,,
"""`GET [base]/Location?endpoint=[endpoint]`""",SHALL,Server,False,NONE,Location/Search Parameter Summary/endpoint,,,
"""`GET [base]/Location?address-city=[address-city]`""",SHALL,Server,False,NONE,Location/Search Parameter Summary/address-city,,,
"""`GET [base]/Location?address-state=[address-state]`""",SHALL,Server,False,NONE,Location/Search Parameter Summary/address-state,,,
"""`GET [base]/Location?address-postalcode=[address-postalcode]`""",SHALL,Server,False,NONE,Location/Search Parameter Summary/address-postalcode,,,
"""`GET [base]/Location?address=[address]`""",SHALL,Server,False,NONE,Location/Search Parameter Summary/address,,,
"""`GET [base]/Location?type=[system] [code]`""",SHALL,Server,False,NONE,Location/Search Parameter Summary/type,,,
"""`GET [base]/Location?_id=[id]`""",SHALL,Server,False,NONE,Location/Search Parameter Summary/_id,,,
"""`GET [base]/Location?_lastUpdated=[_lastUpdated]`""",SHALL,Server,False,NONE,Location/Search Parameter Summary/_lastUpdated,,,
"""SHALL support ... `search-type`, `read`.""",SHALL,Server,False,NONE,Organization/Profile Interaction Summary,,,
"""SHOULD support ... `vread`.""",SHOULD,Server,False,NONE,Organization/Profile Interaction Summary,,,
"""A Server SHALL be capable of returning a Organization resource using: `GET [base]/Organization/[id]`""",SHALL,Server,False,NONE,Organization/Fetch and Search Criteria,,,
"""A Server SHOULD be capable of returning a Organization resource using: `GET [base]/Organization/[id]/_history/vid`""",SHOULD,Server,False,NONE,Organization/Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: Organization:partof - `GET [base]/Organization?[parameter=value]&_include=Organization:partof` ... Organization:endpoint - `GET [base]/Organization?[parameter=value]&_include=Organization:endpoint` ... Organization:coverage-area - `GET [base]/Organization?[parameter=value]&_include=Organization:coverage-area`""",SHALL,Server,False,NONE,Organization/Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _revincludes: ... Endpoint:organization - `GET [base]/Organization?[parameter=value]&_revinclude=Endpoint:organization` ... HealthcareService:organization - `GET [base]/Organization?[parameter=value]&_revinclude=HealthcareService:organization` ... InsurancePlan:administered-by - `GET [base]/Organization?[parameter=value]&_revinclude=InsurancePlan:administered-by` ... InsurancePlan:owned-by - `GET [base]/Organization?[parameter=value]&_revinclude=InsurancePlan:owned-by` ... OrganizationAffiliation:primary-organization - `GET [base]/Organization?[parameter=value]&_revinclude=OrganizationAffiliation:primary-organization` ... PractitionerRole:organization - `GET [base]/Organization?[parameter=value]&_revinclude=PractitionerRole:organization` ... PractitionerRole:network - `GET [base]/Organization?[parameter=value]&_revinclude=PractitionerRole:network` ... OrganizationAffiliation:participating-organization - `GET [base]/Organization?[parameter=value]&_revinclude=OrganizationAffiliation:participating-organization`""",SHALL,Server,False,NONE,Organization/Fetch and Search Criteria,,,
"""`GET [base]/Organization?partof=[partof]`""",SHALL,Server,False,NONE,Organization/Search Parameter Summary/partof,,,
"""`GET [base]/Organization?endpoint=[endpoint]`""",SHALL,Server,False,NONE,Organization/Search Parameter Summary/endpoint,,,
"""`GET [base]/Organization?address=[address]`""",SHALL,Server,False,NONE,Organization/Search Parameter Summary/address,,,
"""`GET [base]/Organization?name=[name]`""",SHALL,Server,False,NONE,Organization/Search Parameter Summary/name,,,
"""`GET [base]/Organization?_id=[id]`""",SHALL,Server,False,NONE,Organization/Search Parameter Summary/_id,,,
"""`GET [base]/Organization?_lastUpdated=[_lastUpdated]`""",SHALL,Server,False,NONE,Organization/Search Parameter Summary/_lastUpdated,,,
"""`GET [base]/Organization?type=[system] [code]`""",SHALL,Server,False,NONE,Organization/Search Parameter Summary/type,,,
"""`GET [base]/Organization?coverage-area=[coverage-area]`""",SHALL,Server,False,NONE,Organization/Search Parameter Summary/coverage-area,,,
"""The content-type of the POST SHALL match the MIME type on the Subscription (Subscription.channel.payload).""",SHALL,Client,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/SubscriptionGuidance.html#payload,,,
"""support search-type""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/OrganizationAffiliation.html#profile-interaction-summary,,,
"""support read""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/OrganizationAffiliation.html#profile-interaction-summary,,,
"""be capable of returning a OrganizationAffiliation resource using: GET [base]/OrganizationAffiliation/[id]""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/OrganizationAffiliation.html#fetch-and-search-criteria,,,
"""be capable of supporting the following _includes: OrganizationAffiliation:primary-organization - GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:primary-organization""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/OrganizationAffiliation.html#fetch-and-search-criteria,,,
"""be capable of supporting the following _includes: OrganizationAffiliation:participating-organization - GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:participating-organization""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/OrganizationAffiliation.html#fetch-and-search-criteria,,,
"""be capable of supporting the following _includes: OrganizationAffiliation:location - GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:location""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/OrganizationAffiliation.html#fetch-and-search-criteria,,,
"""be capable of supporting the following _includes: OrganizationAffiliation:service - GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:service""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/OrganizationAffiliation.html#fetch-and-search-criteria,,,
"""be capable of supporting the following _includes: OrganizationAffiliation:endpoint - GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:endpoint""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/OrganizationAffiliation.html#fetch-and-search-criteria,,,
"""be capable of supporting the following _includes: OrganizationAffiliation:network - GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:network""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/OrganizationAffiliation.html#fetch-and-search-criteria,,,
"""support [primary-organization](SearchParameter-organizationaffiliation-primary-organization.html)   reference   GET [base]/OrganizationAffiliation?primary-organization=[primary-organization]""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/OrganizationAffiliation.html#search-parameter-summary,,,
"""support [participating-organization](SearchParameter-organizationaffiliation-participating-organization.html)   reference   GET [base]/OrganizationAffiliation?participating-organization=[participating-organization]""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/OrganizationAffiliation.html#search-parameter-summary,,,
"""support [location](SearchParameter-organizationaffiliation-location.html)   reference   GET [base]/OrganizationAffiliation?location=[location]""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/OrganizationAffiliation.html#search-parameter-summary,,,
"""support [service](SearchParameter-organizationaffiliation-service.html)   reference   GET [base]/OrganizationAffiliation?service=[service]""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/OrganizationAffiliation.html#search-parameter-summary,,,
"""support [network](SearchParameter-organizationaffiliation-network.html)   reference   GET [base]/OrganizationAffiliation?network=[network]""",SHALL,Server,False,NONE,http://build.fhir.org/ig/HL7/fhir-directory-query/OrganizationAffiliation.html#search-parameter-summary,,,
