Requirement,Conformance,Actor,Conditionality,sub-requirements,URL,Req Set,Id,Sub-Requirement(s)
"""Location instances provide information about location where service is provided, including contact information, address, accessibility, hours of operation and contact, as well as position (lattitude and longitude).""",SHALL,Location,False,NONE,Location section,,,
"""Locations can also be used to represent regions using an associated or attached GeoJSON object.""",MAY,Location,False,NONE,Location section,,,
"""Practitioner instances provide information about a specific person, including name, gender, languages spoken, and qualifications.""",SHALL,Practitioner,False,NONE,Practitioners and PractitionerRoles section,,,
"""PractitionerRole defines a role for a particular practitioner, and associates it with locations, specialties, an organization, and networks.""",SHALL,PractitionerRole,False,NONE,Practitioners and PractitionerRoles section,,,
"""Organization instances provide information about a specific organization and organizational hierarchies, including organization name, specialty, type, address and contact information.""",SHALL,Organization,False,NONE,Organizations and Organization Affiliations section,,,
"""Organization Affiliation instances describe a role, and link a participating organization that provides or performs the role, with an organization where that role is available, and also links the participating organization to a HealthcareServices and networks.""",SHALL,OrganizationAffiliation,False,NONE,Organizations and Organization Affiliations section,,,
"""OrganizationalAffiliation can also be used to associate a HealthcareService provided by an organization with networks.""",MAY,OrganizationAffiliation,False,NONE,Organizations and Organization Affiliations section,,,
"""An Endpoint instance provides technical details of an endpoint that can be used for electronic services, such as a portal or FHIR REST services, messaging or operations, or DIRECT messaging.""",SHALL,Endpoint,False,NONE,Endpoints section,,,
"""The Plan-Net Server SHALL: Implement the RESTful behavior according to the FHIR specification.""",SHALL,Plan-Net Server,False,NONE,FHIR RESTful Capabilities section,,,
"""The Plan-Net Server SHALL: Return the following response classes: (Status 400): invalid parameter, (Status 401/4xx): unauthorized request, (Status 403): insufficient scope, (Status 404): unknown resource, (Status 410): deleted resource.""",SHALL,Plan-Net Server,False,NONE,FHIR RESTful Capabilities section,,,
"""The Plan-Net Server SHALL: Support json source formats for all Plan-Net interactions.""",SHALL,Plan-Net Server,False,NONE,FHIR RESTful Capabilities section,,,
"""The Plan-Net Server SHALL: Identify the Plan-Net profiles supported as part of the FHIR `meta.profile` attribute for each instance.""",SHALL,Plan-Net Server,False,NONE,FHIR RESTful Capabilities section,,,
"""The Plan-Net Server SHALL: Support the searchParameters on each profile individually and in combination.""",SHALL,Plan-Net Server,False,NONE,FHIR RESTful Capabilities section,,,
"""The Plan-Net Server SHALL: Support forward and reverse chaining on all search parameters that specify the 'chain' property""",SHALL,Plan-Net Server,False,NONE,FHIR RESTful Capabilities section,,,
"""The Plan-Net Server SHOULD: Support xml source formats for all Plan-Net interactions.""",SHOULD,Plan-Net Server,False,NONE,FHIR RESTful Capabilities section,,,
"""A server SHALL reject any unauthorized requests by returning an `HTTP 401` unauthorized response code.""",SHALL,Plan-Net Server,False,NONE,"FHIR RESTful Capabilities section, Security subsection",,,
"""A Server SHALL be capable of returning a Endpoint resource using: `GET [base]/Endpoint/[id]`""",SHALL,Plan-Net Server,False,NONE,"Endpoint section, Fetch and Search Criteria subsection",,,
"""A Server SHOULD be capable of returning a Endpoint resource using: `GET [base]/Endpoint/[id]/_history/vid`""",SHOULD,Plan-Net Server,False,NONE,"Endpoint section, Fetch and Search Criteria subsection",,,
"""A Server SHALL be capable of supporting the following _includes: Endpoint:organization - `GET [base]/Endpoint?[parameter=value]&_include=Endpoint:organization`""",SHALL,Plan-Net Server,False,NONE,"Endpoint section, Fetch and Search Criteria subsection",,,
"""A Server SHALL support the [organization] search parameter for Endpoint resources: `GET [base]/Endpoint?organization=[organization]`""",SHALL,Plan-Net Server,False,NONE,"Endpoint section, Search Parameter Summary subsection",,,
"""A Server SHALL support the [_id] search parameter for Endpoint resources: `GET [base]/Endpoint?_id=[id]`""",SHALL,Plan-Net Server,False,NONE,"Endpoint section, Search Parameter Summary subsection",,,
"""A Server SHALL support the [_lastUpdated] search parameter for Endpoint resources: `GET [base]/Endpoint?_lastUpdated=[_lastUpdated]`""",SHALL,Plan-Net Server,False,NONE,"Endpoint section, Search Parameter Summary subsection",,,
"""A Server SHOULD be capable of returning a HealthcareService resource using: `GET [base]/HealthcareService/[id]/_history/vid`""",SHOULD,Server,False,NONE,"HealthcareService section, Fetch and Search Criteria",,,
"""A Server SHALL be capable of supporting the following _includes: HealthcareService:location - `GET [base]/HealthcareService?[parameter=value]&_include=HealthcareService:location`""",SHALL,Server,False,NONE,"HealthcareService section, Fetch and Search Criteria",,,
"""A Server SHALL be capable of supporting the following _includes: HealthcareService:coverage-area - `GET [base]/HealthcareService?[parameter=value]&_include=HealthcareService:coverage-area`""",SHALL,Server,False,NONE,"HealthcareService section, Fetch and Search Criteria",,,
"""A Server SHALL be capable of supporting the following _includes: HealthcareService:organization - `GET [base]/HealthcareService?[parameter=value]&_include=HealthcareService:organization`""",SHALL,Server,False,NONE,"HealthcareService section, Fetch and Search Criteria",,,
"""A Server SHALL be capable of supporting the following _includes: HealthcareService:endpoint - `GET [base]/HealthcareService?[parameter=value]&_include=HealthcareService:endpoint`""",SHALL,Server,False,NONE,"HealthcareService section, Fetch and Search Criteria",,,
"""A Server SHALL be capable of supporting the following _revincludes: PractitionerRole:service - `GET [base]/HealthcareService?[parameter=value]&_revinclude=PractitionerRole:service`""",SHALL,Server,False,NONE,"HealthcareService section, Fetch and Search Criteria",,,
"""A Server SHALL be capable of supporting the following _revincludes: OrganizationAffiliation:service - `GET [base]/HealthcareService?[parameter=value]&_revinclude=OrganizationAffiliation:service`""",SHALL,Server,False,NONE,"HealthcareService section, Fetch and Search Criteria",,,
"""A Server SHALL be capable of returning a InsurancePlan resource using: `GET [base]/InsurancePlan/[id]`""",SHALL,Server,False,NONE,"InsurancePlan section, Fetch and Search Criteria",,,
"""A Server SHOULD be capable of returning a InsurancePlan resource using: `GET [base]/InsurancePlan/[id]/_history/vid`""",SHOULD,Server,False,NONE,"InsurancePlan section, Fetch and Search Criteria",,,
"""A Server SHALL be capable of supporting the following _includes: InsurancePlan:administered-by - `GET [base]/InsurancePlan?[parameter=value]&_include=InsurancePlan:administered-by`""",SHALL,Server,False,NONE,"InsurancePlan section, Fetch and Search Criteria",,,
"""A Server SHALL be capable of supporting the following _includes: InsurancePlan:owned-by - `GET [base]/InsurancePlan?[parameter=value]&_include=InsurancePlan:owned-by`""",SHALL,Server,False,NONE,"InsurancePlan section, Fetch and Search Criteria",,,
"""A Server SHALL be capable of supporting the following _includes: InsurancePlan:coverage-area - `GET [base]/InsurancePlan?[parameter=value]&_include=InsurancePlan:coverage-area`""",SHALL,Server,False,NONE,"InsurancePlan section, Fetch and Search Criteria",,,
"""A Server SHALL be capable of returning a Location resource using: `GET [base]/Location/[id]`""",SHALL,Server,False,NONE,"Location section, Fetch and Search Criteria",,,
"""A Server SHOULD be capable of returning a Location resource using: `GET [base]/Location/[id]/_history/vid`""",SHOULD,Server,False,NONE,"Location section, Fetch and Search Criteria",,,
"""A Server SHOULD be capable of returning a Organization resource using: `GET [base]/Organization/[id]/_history/vid`""",SHOULD,Server,False,NONE,Organization > Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: Organization:partof - `GET [base]/Organization?[parameter=value]&_include=Organization:partof`""",SHALL,Server,False,NONE,Organization > Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: Organization:endpoint - `GET [base]/Organization?[parameter=value]&_include=Organization:endpoint`""",SHALL,Server,False,NONE,Organization > Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: Organization:coverage-area - `GET [base]/Organization?[parameter=value]&_include=Organization:coverage-area`""",SHALL,Server,False,NONE,Organization > Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _revincludes: Endpoint:organization - `GET [base]/Organization?[parameter=value]&_revinclude=Endpoint:organization`""",SHALL,Server,False,NONE,Organization > Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _revincludes: HealthcareService:organization - `GET [base]/Organization?[parameter=value]&_revinclude=HealthcareService:organization`""",SHALL,Server,False,NONE,Organization > Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _revincludes: InsurancePlan:administered-by - `GET [base]/Organization?[parameter=value]&_revinclude=InsurancePlan:administered-by`""",SHALL,Server,False,NONE,Organization > Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _revincludes: InsurancePlan:owned-by - `GET [base]/Organization?[parameter=value]&_revinclude=InsurancePlan:owned-by`""",SHALL,Server,False,NONE,Organization > Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _revincludes: OrganizationAffiliation:primary-organization - `GET [base]/Organization?[parameter=value]&_revinclude=OrganizationAffiliation:primary-organization`""",SHALL,Server,False,NONE,Organization > Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _revincludes: PractitionerRole:organization - `GET [base]/Organization?[parameter=value]&_revinclude=PractitionerRole:organization`""",SHALL,Server,False,NONE,Organization > Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _revincludes: PractitionerRole:network - `GET [base]/Organization?[parameter=value]&_revinclude=PractitionerRole:network`""",SHALL,Server,False,NONE,Organization > Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _revincludes: OrganizationAffiliation:participating-organization - `GET [base]/Organization?[parameter=value]&_revinclude=OrganizationAffiliation:participating-organization`""",SHALL,Server,False,NONE,Organization > Fetch and Search Criteria,,,
"""A Server SHALL be capable of returning a OrganizationAffiliation resource using: `GET [base]/OrganizationAffiliation/[id]`""",SHALL,Server,False,NONE,OrganizationAffiliation > Fetch and Search Criteria,,,
"""A Server SHOULD be capable of returning a OrganizationAffiliation resource using: `GET [base]/OrganizationAffiliation/[id]/_history/vid`""",SHOULD,Server,False,NONE,OrganizationAffiliation > Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: OrganizationAffiliation:primary-organization - `GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:primary-organization`""",SHALL,Server,False,NONE,OrganizationAffiliation > Fetch and Search Criteria,,,
"""A Server SHALL be capable of returning a Practitioner resource using: `GET [base]/Practitioner/[id]`""",SHALL,Server,False,NONE,Practitioner > Fetch and Search Criteria,,,
"""A Server SHOULD be capable of returning a Practitioner resource using: `GET [base]/Practitioner/[id]/_history/vid`""",SHOULD,Server,False,NONE,Practitioner > Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _revincludes: PractitionerRole:practitioner - `GET [base]/Practitioner?[parameter=value]&_revinclude=PractitionerRole:practitioner`""",SHALL,Server,False,NONE,Practitioner > Fetch and Search Criteria,,,
"""This Section describes the expected capabilities of the Plan-Net Server actor which is responsible for providing responses to the queries submitted by the Plan-Net Requestors.""",SHALL,Plan-Net Server,False,NONE,"Artifacts Summary section, Behavior: Capability Statements, Plan-Net CapabilityStatement description",,,
"""The complete list of FHIR profiles, RESTful operations, and search parameters supported by Plan-Net Servers are defined.""",SHALL,Plan-Net Server,False,NONE,"Artifacts Summary section, Behavior: Capability Statements, Plan-Net CapabilityStatement description",,,
"""Systems implementing this capability statement should meet the CMS FInal Rule requirement for provider directory access.""",SHOULD,Systems implementing the Plan-Net CapabilityStatement,False,NONE,"Artifacts Summary section, Behavior: Capability Statements, Plan-Net CapabilityStatement description",,,
"""Plan-Net Clients can use the required capabilities to access necessary data based on their local use cases and other contextual requirements.""",MAY,Plan-Net Clients,False,NONE,"Artifacts Summary section, Behavior: Capability Statements, Plan-Net CapabilityStatement description",,,
"""The HealthCareService resource typically describes services offered by an organization/practitioner at a location.""",SHALL,Server,False,NONE,Structures: Resource Profiles - Plan-Net HealthcareService,,,
"""An InsurancePlan is a discrete package of health insurance coverage benefits that are offered under a particular network type.""",SHALL,Server,False,NONE,Structures: Resource Profiles - Plan-Net InsurancePlan,,,
"""A Location is the physical place where healthcare services are provided, practitioners are employed, organizations are based, etc.""",SHALL,Server,False,NONE,Structures: Resource Profiles - Plan-Net Location,,,
"""A Network refers to a healthcare provider insurance network.""",SHALL,Server,False,NONE,Structures: Resource Profiles - Plan-Net Network,,,
"""An organization is a formal or informal grouping of people or organizations with a common purpose, such as a company, institution, corporation, community group, or healthcare practice.""",SHALL,Server,False,NONE,Structures: Resource Profiles - Plan-Net Organization,,,
"""When the contact is a department name, rather than a human (e.g., patient help line), include a blank family and given name, and provide the department name in contact.name.text""",SHALL,Server,True,NONE,Structures: Resource Profiles - Plan-Net Organization,,,
"""The OrganizationAffiliation resource describes relationships between two or more organizations, including the services one organization provides another, the location(s) where they provide services, the availability of those services, electronic endpoints, and other relevant information.""",SHALL,Server,False,NONE,Structures: Resource Profiles - Plan-Net OrganizationAffiliation,,,
"""Practitioner is a person who is directly or indirectly involved in the provisioning of healthcare.""",SHALL,Server,False,NONE,Structures: Resource Profiles - Plan-Net Practitioner,,,
"""PractionerRole describes details about a provider, which can be a practitioner or an organization.""",SHALL,Server,False,NONE,Structures: Resource Profiles - Plan-Net PractitionerRole,,,
"""An extension to describe accessibility options offered by a practitioner or at a location.""",MAY,Server,False,NONE,Structures: Extension Definitions - Accessibility,,,
"""An extension to express a practitioner's spoken proficiency with the language indicated in practitioner.communication.""",MAY,Server,False,NONE,Structures: Extension Definitions - Communication Proficiency,,,
"""An extension representing the days and times a contact point is available""",MAY,Server,False,NONE,Structures: Extension Definitions - Contactpoint Availabletime,,,
"""An extension describing the service delivery method. If service delivery is virtual, one or more delivery modalities should be specified.""",MAY,Server,True,NONE,Structures: Extension Definitions - Delivery Method,,,
"""EndpointUseCase is an enumeration of the specific use cases (service descriptions) supported by the endpoint""",MAY,Server,False,NONE,Structures: Extension Definitions - Endpoint Usecase,,,
"""A reference to a Location resource (plannet-Location) defining the coverage area of a health insurance provider network""",MAY,Server,False,NONE,Structures: Extension Definitions - Location Reference,,,
"""A reference to the healthcare provider insurance networks (plannet-Network) the practitioner participates in through their role""",MAY,Server,False,NONE,Structures: Extension Definitions - Network Reference,,,
"""New Patients indicates whether new patients are being accepted in general, or from a specific network.""",MAY,Server,False,NONE,Structures: Extension Definitions - New Patients,,,
"""This extension is included in the PractitionerRole, HealthcareService, and Location profiles.""",SHALL,Server,True,NONE,Structures: Extension Definitions - New Patients,,,
"""An extension to provide a human-readable description of an organization.""",MAY,Server,False,NONE,Structures: Extension Definitions - Org Description,,,
"""An extension to add status and whereValid elements to a practitioner's qualifications.""",MAY,Server,False,NONE,Structures: Extension Definitions - Practitioner Qualification,,,
"""An extension to add qualifications for an organization (e.g. accreditation) or practitionerRole (e.g. registered to prescribe controlled substances).""",MAY,Server,False,NONE,Structures: Extension Definitions - Qualification,,,
"""A reference to an alternative point of contact (plannet-PractitionerRole, plannet-Organization, plannet-OrganizationAffiliation, or plannet-Location) for this organization""",MAY,Server,False,NONE,Structures: Extension Definitions - Via Intermediary,,,
