Requirement,Conformance,Actor,Conditionality,sub-requirements,URL,Req Set,Id,Sub-Requirement(s)
"""The Plan-Net Server SHALL: Support json source formats for all Plan-Net interactions.""",SHALL,Plan-Net Server,False,NONE,FHIR RESTful Capabilities section,,,
"""The Plan-Net Server SHALL: Identify the Plan-Net profiles supported as part of the FHIR `meta.profile` attribute for each instance.""",SHALL,Plan-Net Server,False,NONE,FHIR RESTful Capabilities section,,,
"""The Plan-Net Server SHALL: Support the searchParameters on each profile individually and in combination.""",SHALL,Plan-Net Server,False,NONE,FHIR RESTful Capabilities section,,,
"""The Plan-Net Server SHALL: Support forward and reverse chaining on all search parameters that specify the 'chain' property""",SHALL,Plan-Net Server,False,NONE,FHIR RESTful Capabilities section,,,
"""The Plan-Net Server SHOULD: Support xml source formats for all Plan-Net interactions.""",SHOULD,Plan-Net Server,False,NONE,FHIR RESTful Capabilities section,,,
"""A server SHALL reject any unauthorized requests by returning an `HTTP 401` unauthorized response code.""",SHALL,Plan-Net Server,False,NONE,Security section,,,
"""Conformance Expectation: SHALL [for Endpoint resource]""",SHALL,Plan-Net Server,False,NONE,Endpoint section,,,
"""A Server SHALL be capable of returning a Endpoint resource using: `GET [base]/Endpoint/[id]`""",SHALL,Plan-Net Server,False,NONE,"Endpoint section, Fetch and Search Criteria",,,
"""A Server SHOULD be capable of returning a Endpoint resource using: `GET [base]/Endpoint/[id]/_history/vid`""",SHOULD,Plan-Net Server,False,NONE,"Endpoint section, Fetch and Search Criteria",,,
"""A Server SHALL be capable of supporting the following _includes: Endpoint:organization - `GET [base]/Endpoint?[parameter=value]&_include=Endpoint:organization`""",SHALL,Plan-Net Server,False,NONE,"Endpoint section, Fetch and Search Criteria",,,
"""A Server SHALL support the [organization] search parameter for Endpoint: `GET [base]/Endpoint?organization=[organization]`""",SHALL,Plan-Net Server,False,NONE,"Endpoint section, Search Parameter Summary",,,
"""A Server SHALL support the [_id] search parameter for Endpoint: `GET [base]/Endpoint?_id=[id]`""",SHALL,Plan-Net Server,False,NONE,"Endpoint section, Search Parameter Summary",,,
"""A Server SHALL support the [_lastUpdated] search parameter for Endpoint: `GET [base]/Endpoint?_lastUpdated=[_lastUpdated]`""",SHALL,Plan-Net Server,False,NONE,"Endpoint section, Search Parameter Summary",,,
"""A Server SHOULD be capable of returning a HealthcareService resource using: `GET [base]/HealthcareService/[id]/_history/vid`""",SHOULD,Server,False,NONE,"HealthcareService section, Fetch and Search Criteria",,,
"""A Server SHALL be capable of supporting the following _includes: HealthcareService:location - `GET [base]/HealthcareService?[parameter=value]&_include=HealthcareService:location`""",SHALL,Server,False,NONE,"HealthcareService section, Fetch and Search Criteria",,,
"""A Server SHALL be capable of supporting the following _includes: HealthcareService:coverage-area - `GET [base]/HealthcareService?[parameter=value]&_include=HealthcareService:coverage-area`""",SHALL,Server,False,NONE,"HealthcareService section, Fetch and Search Criteria",,,
"""A Server SHALL be capable of supporting the following _includes: HealthcareService:organization - `GET [base]/HealthcareService?[parameter=value]&_include=HealthcareService:organization`""",SHALL,Server,False,NONE,"HealthcareService section, Fetch and Search Criteria",,,
"""A Server SHALL be capable of supporting the following _includes: HealthcareService:endpoint - `GET [base]/HealthcareService?[parameter=value]&_include=HealthcareService:endpoint`""",SHALL,Server,False,NONE,"HealthcareService section, Fetch and Search Criteria",,,
"""A Server SHALL be capable of supporting the following _revincludes: PractitionerRole:service - `GET [base]/HealthcareService?[parameter=value]&_revinclude=PractitionerRole:service`""",SHALL,Server,False,NONE,"HealthcareService section, Fetch and Search Criteria",,,
"""A Server SHALL be capable of supporting the following _revincludes: OrganizationAffiliation:service - `GET [base]/HealthcareService?[parameter=value]&_revinclude=OrganizationAffiliation:service`""",SHALL,Server,False,NONE,"HealthcareService section, Fetch and Search Criteria",,,
"""A Server SHALL be capable of returning a InsurancePlan resource using: `GET [base]/InsurancePlan/[id]`""",SHALL,Server,False,NONE,"InsurancePlan section, Fetch and Search Criteria",,,
"""A Server SHOULD be capable of returning a InsurancePlan resource using: `GET [base]/InsurancePlan/[id]/_history/vid`""",SHOULD,Server,False,NONE,"InsurancePlan section, Fetch and Search Criteria",,,
"""A Server SHALL be capable of supporting the following _includes: InsurancePlan:administered-by - `GET [base]/InsurancePlan?[parameter=value]&_include=InsurancePlan:administered-by`""",SHALL,Server,False,NONE,"InsurancePlan section, Fetch and Search Criteria",,,
"""A Server SHALL be capable of supporting the following _includes: InsurancePlan:owned-by - `GET [base]/InsurancePlan?[parameter=value]&_include=InsurancePlan:owned-by`""",SHALL,Server,False,NONE,"InsurancePlan section, Fetch and Search Criteria",,,
"""A Server SHALL be capable of supporting the following _includes: InsurancePlan:coverage-area - `GET [base]/InsurancePlan?[parameter=value]&_include=InsurancePlan:coverage-area`""",SHALL,Server,False,NONE,"InsurancePlan section, Fetch and Search Criteria",,,
"""A Server SHALL be capable of returning a Location resource using: `GET [base]/Location/[id]`""",SHALL,Server,False,NONE,"Location section, Fetch and Search Criteria",,,
"""A Server SHOULD be capable of returning a Location resource using: `GET [base]/Location/[id]/_history/vid`""",SHOULD,Server,False,NONE,"Location section, Fetch and Search Criteria",,,
"""A Server SHOULD be capable of returning a Organization resource using: `GET [base]/Organization/[id]/_history/vid`""",SHOULD,Server,False,NONE,Organization - Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: Organization:partof - `GET [base]/Organization?[parameter=value]&_include=Organization:partof`""",SHALL,Server,False,NONE,Organization - Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: Organization:endpoint - `GET [base]/Organization?[parameter=value]&_include=Organization:endpoint`""",SHALL,Server,False,NONE,Organization - Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: Organization:coverage-area - `GET [base]/Organization?[parameter=value]&_include=Organization:coverage-area`""",SHALL,Server,False,NONE,Organization - Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _revincludes: Endpoint:organization - `GET [base]/Organization?[parameter=value]&_revinclude=Endpoint:organization`""",SHALL,Server,False,NONE,Organization - Fetch and Search Criteria,,,
"""A Server SHALL be capable of returning a OrganizationAffiliation resource using: `GET [base]/OrganizationAffiliation/[id]`""",SHALL,Server,False,NONE,OrganizationAffiliation - Fetch and Search Criteria,,,
"""A Server SHOULD be capable of returning a OrganizationAffiliation resource using: `GET [base]/OrganizationAffiliation/[id]/_history/vid`""",SHOULD,Server,False,NONE,OrganizationAffiliation - Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: OrganizationAffiliation:primary-organization - `GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:primary-organization`""",SHALL,Server,False,NONE,OrganizationAffiliation - Fetch and Search Criteria,,,
"""A Server SHALL be capable of returning a Practitioner resource using: `GET [base]/Practitioner/[id]`""",SHALL,Server,False,NONE,Practitioner - Fetch and Search Criteria,,,
"""A Server SHOULD be capable of returning a Practitioner resource using: `GET [base]/Practitioner/[id]/_history/vid`""",SHOULD,Server,False,NONE,Practitioner - Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _revincludes: PractitionerRole:practitioner - `GET [base]/Practitioner?[parameter=value]&_revinclude=PractitionerRole:practitioner`""",SHALL,Server,False,NONE,Practitioner - Fetch and Search Criteria,,,
"""A Server SHOULD be capable of returning a PractitionerRole resource using: `GET [base]/PractitionerRole/[id]/_history/vid`""",SHOULD,Server,False,NONE,Fetch and Search Criteria section,,,
"""A Server SHALL be capable of supporting the following _includes: PractitionerRole:practitioner - `GET [base]/PractitionerRole?[parameter=value]&_include=PractitionerRole:practitioner`""",SHALL,Server,False,NONE,Fetch and Search Criteria section,,,
"""A Server SHALL be capable of supporting the following _includes: PractitionerRole:organization - `GET [base]/PractitionerRole?[parameter=value]&_include=PractitionerRole:organization`""",SHALL,Server,False,NONE,Fetch and Search Criteria section,,,
"""A Server SHALL be capable of supporting the following _includes: PractitionerRole:location - `GET [base]/PractitionerRole?[parameter=value]&_include=PractitionerRole:location`""",SHALL,Server,False,NONE,Fetch and Search Criteria section,,,
"""A Server SHALL be capable of supporting the following _includes: PractitionerRole:service - `GET [base]/PractitionerRole?[parameter=value]&_include=PractitionerRole:service`""",SHALL,Server,False,NONE,Fetch and Search Criteria section,,,
"""A Server SHALL be capable of supporting the following _includes: PractitionerRole:network - `GET [base]/PractitionerRole?[parameter=value]&_include=PractitionerRole:network`""",SHALL,Server,False,NONE,Fetch and Search Criteria section,,,
"""A Server SHALL be capable of supporting the following _includes: PractitionerRole:endpoint - `GET [base]/PractitionerRole?[parameter=value]&_include=PractitionerRole:endpoint`""",SHALL,Server,False,NONE,Fetch and Search Criteria section,,,
"""A Server SHALL support search-type for PractitionerRole""",SHALL,Server,False,NONE,Profile Interaction Summary section,,,
"""A Server SHALL support read for PractitionerRole""",SHALL,Server,False,NONE,Profile Interaction Summary section,,,
"""A Server SHOULD support vread for PractitionerRole""",SHOULD,Server,False,NONE,Profile Interaction Summary section,,,
"""A Server SHALL support the practitioner search parameter for PractitionerRole""",SHALL,Server,False,NONE,Search Parameter Summary section,,,
"""A Server SHALL support the organization search parameter for PractitionerRole""",SHALL,Server,False,NONE,Search Parameter Summary section,,,
"""A Server SHALL support the location search parameter for PractitionerRole""",SHALL,Server,False,NONE,Search Parameter Summary section,,,
"""A Server SHALL support the service search parameter for PractitionerRole""",SHALL,Server,False,NONE,Search Parameter Summary section,,,
