Requirement,Conformance,Actor,Conditionality,sub-requirements,URL,*_(status_400),*_(status_401/4xx),*_(status_403),*_(status_404),*_(status_410),Req Set,Id,Sub-Requirement(s)
"""A server **SHALL** reject any unauthorized requests by returning an `HTTP 401` unauthorized response code.""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/davinci-pdex-plan-net/CapabilityStatement/plan-net/#security,,,,,,,,
"""A Server SHOULD be capable of returning a Endpoint resource using:",SHOULD,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-Endpoint.html#fetch-and-search-criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes:",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-Endpoint.html#fetch-and-search-criteria,,,,,,,,
"""SHALL  [organization](SearchParameter-endpoint-organization.html)   reference   `GET [base]/Endpoint?organization=[organization]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-Endpoint.html#search-parameter-summary,,,,,,,,
"""SHALL   [_id](http://hl7.org/fhir/R4/search.html)   token   `GET [base]/Endpoint?_id=[id]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-Endpoint.html#search-parameter-summary,,,,,,,,
"""SHALL   [_lastUpdated](http://hl7.org/fhir/R4/search.html)   date   `GET [base]/Endpoint?_lastUpdated=[_lastUpdated]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-Endpoint.html#search-parameter-summary,,,,,,,,
"""SHALL support",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-Endpoint.html#profile-interaction-summary,,,,,,,,
"""SHOULD support",SHOULD,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-Endpoint.html#profile-interaction-summary,,,,,,,,
"""A Server SHALL be capable of returning a HealthcareService resource using:",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html#fetch-and-search-criteria,,,,,,,,
"""A Server SHOULD be capable of returning a HealthcareService resource using:",SHOULD,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html#fetch-and-search-criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes:",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html#fetch-and-search-criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes:",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html#fetch-and-search-criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes:",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html#fetch-and-search-criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes:",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html#fetch-and-search-criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes:",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html#fetch-and-search-criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes:",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html#fetch-and-search-criteria,,,,,,,,
"""SHALL  [location](SearchParameter-healthcareservice-location.html)   reference   `GET [base]/HealthcareService?location=[location]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html#search-parameter-summary,,,,,,,,
"""SHALL  [coverage-area](SearchParameter-healthcareservice-coverage-area.html)   reference   `GET [base]/HealthcareService?coverage-area=[coverage-area]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html#search-parameter-summary,,,,,,,,
"""SHALL  [organization](SearchParameter-healthcareservice-organization.html)   reference   `GET [base]/HealthcareService?organization=[organization]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html#search-parameter-summary,,,,,,,,
"""SHALL  [endpoint](SearchParameter-healthcareservice-endpoint.html)   reference   `GET [base]/HealthcareService?endpoint=[endpoint]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html#search-parameter-summary,,,,,,,,
"""SHALL  [name](SearchParameter-healthcareservice-name.html)   string   `GET [base]/HealthcareService?name=[name]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html#search-parameter-summary,,,,,,,,
"""SHALL  [service-category](SearchParameter-healthcareservice-service-category.html)   token   `GET [base]/HealthcareService?service-category=[system] [code]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html#search-parameter-summary,,,,,,,,
"""SHALL  [service-type](SearchParameter-healthcareservice-service-type.html)   token   `GET [base]/HealthcareService?service-type=[system] [code]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html#search-parameter-summary,,,,,,,,
"""SHALL  [specialty](SearchParameter-healthcareservice-specialty.html)   token   `GET [base]/HealthcareService?specialty=[system] [code]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html#search-parameter-summary,,,,,,,,
"""SHALL   [_id](http://hl7.org/fhir/R4/search.html)   token   `GET [base]/HealthcareService?_id=[id]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html#search-parameter-summary,,,,,,,,
"""SHALL   [_lastUpdated](http://hl7.org/fhir/R4/search.html)   date   `GET [base]/HealthcareService?_lastUpdated=[_lastUpdated]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html#search-parameter-summary,,,,,,,,
"""SHALL support",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html#profile-interaction-summary,,,,,,,,
"""SHOULD support",SHOULD,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-HealthcareService.html#profile-interaction-summary,,,,,,,,
"""A Server SHALL be capable of returning a InsurancePlan resource using:",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html#fetch-and-search-criteria,,,,,,,,
"""A Server SHOULD be capable of returning a InsurancePlan resource using:",SHOULD,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html#fetch-and-search-criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes:",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html#fetch-and-search-criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes:",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html#fetch-and-search-criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes:",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html#fetch-and-search-criteria,,,,,,,,
"""SHALL  [administered-by](SearchParameter-insuranceplan-administered-by.html)   reference   `GET [base]/InsurancePlan?administered-by=[administered-by]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html#search-parameter-summary,,,,,,,,
"""SHALL  [owned-by](SearchParameter-insuranceplan-owned-by.html)   reference   `GET [base]/InsurancePlan?owned-by=[owned-by]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html#search-parameter-summary,,,,,,,,
"""SHALL  [coverage-area](SearchParameter-insuranceplan-coverage-area.html)   reference   `GET [base]/InsurancePlan?coverage-area=[coverage-area]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html#search-parameter-summary,,,,,,,,
"""SHALL  [name](SearchParameter-insuranceplan-name.html)   string   `GET [base]/InsurancePlan?name=[name]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html#search-parameter-summary,,,,,,,,
"""SHALL  [plan-type](SearchParameter-insuranceplan-plan-type.html)   token   `GET [base]/InsurancePlan?plan-type=[system] [code]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html#search-parameter-summary,,,,,,,,
"""SHALL  [identifier](SearchParameter-insuranceplan-identifier.html)   token   `GET [base]/InsurancePlan?identifier=[system] [code]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html#search-parameter-summary,,,,,,,,
"""SHALL   [_id](http://hl7.org/fhir/R4/search.html)   token   `GET [base]/InsurancePlan?_id=[id]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html#search-parameter-summary,,,,,,,,
"""SHALL   [_lastUpdated](http://hl7.org/fhir/R4/search.html)   date   `GET [base]/InsurancePlan?_lastUpdated=[_lastUpdated]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html#search-parameter-summary,,,,,,,,
"""SHALL  [type](SearchParameter-insuranceplan-type.html)   token   `GET [base]/InsurancePlan?type=[system] [code]`""",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html#search-parameter-summary,,,,,,,,
"""SHALL support",SHALL,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html#profile-interaction-summary,,,,,,,,
"""SHOULD support",SHOULD,Server,False,NONE,http://hl7.org/fhir/us/plannet/StructureDefinition-plannet-InsurancePlan.html#profile-interaction-summary,,,,,,,,
"""SHOULD support\n`vread`.""",SHOULD,Server,False,NONE,Location/Profile Interaction Summary,,,,,,,,
"""A Server SHALL be capable of returning a Location resource using:\n`GET [base]/Location/[id]`""",SHALL,Server,False,NONE,Location/Fetch and Search Criteria,,,,,,,,
"""A Server SHOULD be capable of returning a Location resource using:\n`GET [base]/Location/[id]/_history/vid`""",SHOULD,Server,False,NONE,Location/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes:\nLocation:endpoint - `GET [base]/Location?[parameter=value]&_include=Location:endpoint`""",SHALL,Server,False,NONE,Location/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes:\nLocation:organization - `GET [base]/Location?[parameter=value]&_include=Location:organization`""",SHALL,Server,False,NONE,Location/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes:\nLocation:partof - `GET [base]/Location?[parameter=value]&_include=Location:partof`""",SHALL,Server,False,NONE,Location/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes:\nHealthcareService:location - `GET [base]/Location?[parameter=value]&_revinclude=HealthcareService:location`""",SHALL,Server,False,NONE,Location/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes:\nInsurancePlan:coverage-area - `GET [base]/Location?[parameter=value]&_revinclude=InsurancePlan:coverage-area`""",SHALL,Server,False,NONE,Location/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes:\nOrganizationAffiliation:location - `GET [base]/Location?[parameter=value]&_revinclude=OrganizationAffiliation:location`""",SHALL,Server,False,NONE,Location/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes:\nPractitionerRole:location - `GET [base]/Location?[parameter=value]&_revinclude=PractitionerRole:location`""",SHALL,Server,False,NONE,Location/Fetch and Search Criteria,,,,,,,,
"""[partof](SearchParameter-location-partof.html)   reference   `GET [base]/Location?partof=[partof]`""",SHALL,Server,False,NONE,Location/Search Parameter Summary,,,,,,,,
"""[organization](SearchParameter-location-organization.html)   reference   `GET [base]/Location?organization=[organization]`""",SHALL,Server,False,NONE,Location/Search Parameter Summary,,,,,,,,
"""[endpoint](SearchParameter-location-endpoint.html)   reference   `GET [base]/Location?endpoint=[endpoint]`""",SHALL,Server,False,NONE,Location/Search Parameter Summary,,,,,,,,
"""[address-city](SearchParameter-location-address-city.html)   string   `GET [base]/Location?address-city=[address-city]`""",SHALL,Server,False,NONE,Location/Search Parameter Summary,,,,,,,,
"""[address-state](SearchParameter-location-address-state.html)   string   `GET [base]/Location?address-state=[address-state]`""",SHALL,Server,False,NONE,Location/Search Parameter Summary,,,,,,,,
"""[address-postalcode](SearchParameter-location-address-postalcode.html)   string   `GET [base]/Location?address-postalcode=[address-postalcode]`""",SHALL,Server,False,NONE,Location/Search Parameter Summary,,,,,,,,
"""[address](SearchParameter-location-address.html)   string   `GET [base]/Location?address=[address]`""",SHALL,Server,False,NONE,Location/Search Parameter Summary,,,,,,,,
"""[type](SearchParameter-location-type.html)   token   `GET [base]/Location?type=[system] [code]`""",SHALL,Server,False,NONE,Location/Search Parameter Summary,,,,,,,,
"""[_id](http://hl7.org/fhir/R4/search.html)   token   `GET [base]/Location?_id=[id]`""",SHALL,Server,False,NONE,Location/Search Parameter Summary,,,,,,,,
"""[_lastUpdated](http://hl7.org/fhir/R4/search.html)   date   `GET [base]/Location?_lastUpdated=[_lastUpdated]`""",SHALL,Server,False,NONE,Location/Search Parameter Summary,,,,,,,,
"""SHALL support\n`search-type`,\n`read`.""",SHALL,Server,False,NONE,Organization/Profile Interaction Summary,,,,,,,,
"""SHOULD support\n`vread`.""",SHOULD,Server,False,NONE,Organization/Profile Interaction Summary,,,,,,,,
"""A Server SHALL be capable of returning a Organization resource using:\n`GET [base]/Organization/[id]`""",SHALL,Server,False,NONE,Organization/Fetch and Search Criteria,,,,,,,,
"""A Server SHOULD be capable of returning a Organization resource using:\n`GET [base]/Organization/[id]/_history/vid`""",SHOULD,Server,False,NONE,Organization/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes:\nOrganization:partof - `GET [base]/Organization?[parameter=value]&_include=Organization:partof`""",SHALL,Server,False,NONE,Organization/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes:\nOrganization:endpoint - `GET [base]/Organization?[parameter=value]&_include=Organization:endpoint`""",SHALL,Server,False,NONE,Organization/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes:\nOrganization:coverage-area - `GET [base]/Organization?[parameter=value]&_include=Organization:coverage-area`""",SHALL,Server,False,NONE,Organization/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes:\nEndpoint:organization - `GET [base]/Organization?[parameter=value]&_revinclude=Endpoint:organization`""",SHALL,Server,False,NONE,Organization/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes:\nHealthcareService:organization - `GET [base]/Organization?[parameter=value]&_revinclude=HealthcareService:organization`""",SHALL,Server,False,NONE,Organization/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes:\nInsurancePlan:administered-by - `GET [base]/Organization?[parameter=value]&_revinclude=InsurancePlan:administered-by`""",SHALL,Server,False,NONE,Organization/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes:\nInsurancePlan:owned-by - `GET [base]/Organization?[parameter=value]&_revinclude=InsurancePlan:owned-by`""",SHALL,Server,False,NONE,Organization/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes:\nOrganizationAffiliation:primary-organization - `GET [base]/Organization?[parameter=value]&_revinclude=OrganizationAffiliation:primary-organization`""",SHALL,Server,False,NONE,Organization/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes:\nPractitionerRole:organization - `GET [base]/Organization?[parameter=value]&_revinclude=PractitionerRole:organization`""",SHALL,Server,False,NONE,Organization/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes:\nPractitionerRole:network - `GET [base]/Organization?[parameter=value]&_revinclude=PractitionerRole:network`""",SHALL,Server,False,NONE,Organization/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _revincludes:\nOrganizationAffiliation:participating-organization - `GET [base]/Organization?[parameter=value]&_revinclude=OrganizationAffiliation:participating-organization`""",SHALL,Server,False,NONE,Organization/Fetch and Search Criteria,,,,,,,,
"""[partof](SearchParameter-organization-partof.html)   reference   `GET [base]/Organization?partof=[partof]`""",SHALL,Server,False,NONE,Organization/Search Parameter Summary,,,,,,,,
"""[endpoint](SearchParameter-organization-endpoint.html)   reference   `GET [base]/Organization?endpoint=[endpoint]`""",SHALL,Server,False,NONE,Organization/Search Parameter Summary,,,,,,,,
"""[address](SearchParameter-organization-address.html)   string   `GET [base]/Organization?address=[address]`""",SHALL,Server,False,NONE,Organization/Search Parameter Summary,,,,,,,,
"""[name](SearchParameter-organization-name.html)   string   `GET [base]/Organization?name=[name]`""",SHALL,Server,False,NONE,Organization/Search Parameter Summary,,,,,,,,
"""[_id](http://hl7.org/fhir/R4/search.html)   token   `GET [base]/Organization?_id=[id]`""",SHALL,Server,False,NONE,Organization/Search Parameter Summary,,,,,,,,
"""[_lastUpdated](http://hl7.org/fhir/R4/search.html)   date   `GET [base]/Organization?_lastUpdated=[_lastUpdated]`""",SHALL,Server,False,NONE,Organization/Search Parameter Summary,,,,,,,,
"""[type](SearchParameter-organization-type.html)   token   `GET [base]/Organization?type=[system] [code]`""",SHALL,Server,False,NONE,Organization/Search Parameter Summary,,,,,,,,
"""[coverage-area](SearchParameter-organization-coverage-area.html)   reference   `GET [base]/Organization?coverage-area=[coverage-area]`""",SHALL,Server,False,NONE,Organization/Search Parameter Summary,,,,,,,,
"""A Server SHOULD be capable of returning a OrganizationAffiliation resource using:",SHOULD,Server,False,NONE,OrganizationAffiliation/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes:",SHALL,Server,False,NONE,OrganizationAffiliation/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes:",SHALL,Server,False,NONE,OrganizationAffiliation/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes:",SHALL,Server,False,NONE,OrganizationAffiliation/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes:",SHALL,Server,False,NONE,OrganizationAffiliation/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes:",SHALL,Server,False,NONE,OrganizationAffiliation/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of supporting the following _includes:",SHALL,Server,False,NONE,OrganizationAffiliation/Fetch and Search Criteria,,,,,,,,
"""A Server SHALL be capable of returning a OrganizationAffiliation resource using:",SHALL,Server,False,NONE,OrganizationAffiliation/Search Parameter Summary,,,,,,,,
"""A Server SHALL be capable of returning a OrganizationAffiliation resource using:",SHALL,Server,False,NONE,OrganizationAffiliation/Search Parameter Summary,,,,,,,,
"""A Server SHALL be capable of returning a OrganizationAffiliation resource using:",SHALL,Server,False,NONE,OrganizationAffiliation/Search Parameter Summary,,,,,,,,
"""A Server SHALL be capable of returning a OrganizationAffiliation resource using:",SHALL,Server,False,NONE,OrganizationAffiliation/Search Parameter Summary,,,,,,,,
"""A Server SHALL be capable of returning a OrganizationAffiliation resource using:",SHALL,Server,False,NONE,OrganizationAffiliation/Search Parameter Summary,,,,,,,,
"""A Server SHALL be capable of returning a OrganizationAffiliation resource using:",SHALL,Server,False,NONE,OrganizationAffiliation/Search Parameter Summary,,,,,,,,
"""A Server SHALL be capable of returning a OrganizationAffiliation resource using:",SHALL,Server,False,NONE,OrganizationAffiliation/Search Parameter Summary,,,,,,,,
"""A Server SHALL be capable of returning a OrganizationAffiliation resource using:",SHALL,Server,False,NONE,OrganizationAffiliation/Search Parameter Summary,,,,,,,,
"""A Server SHALL be capable of returning a OrganizationAffiliation resource using:",SHALL,Server,False,NONE,OrganizationAffiliation/Search Parameter Summary,,,,,,,,
"""A Server SHALL be capable of returning a OrganizationAffiliation resource using:",SHALL,Server,False,NONE,OrganizationAffiliation/Search Parameter Summary,,,,,,,,
"""SHALL support",SHALL,Server,False,NONE,OrganizationAffiliation/Profile Interaction Summary,,,,,,,,
"""SHOULD support",SHOULD,Server,False,NONE,OrganizationAffiliation/Profile Interaction Summary,,,,,,,,
