Requirement,Conformance,Actor,Conditionality,sub-requirements,URL,Req Set,Id,Sub-Requirement(s)
"""Consumer App actors SHALL be able to process resource instances containing Must Support data elements asserting missing information.""",SHALL,Consumer App Actors,False,NONE,Application Requirements,,,
"""Resource Type [Endpoint] Supported Profiles [Plan-Net Endpoint] Supported Searches [organization, _id, _lastUpdated] Supported `_includes` [Endpoint:organization]""",SHALL,Server,False,NONE,RESTful Capabilities by Resource/Profile: Summary of Search Criteria,,,
"""Resource Type [Endpoint] Supported Profiles [Plan-Net Endpoint] Supported Searches [organization, _id, _lastUpdated]""",SHALL,Server,False,NONE,RESTful Capabilities by Resource/Profile: Summary of Search Criteria,,,
"""Resource Type [HealthcareService] Supported Profiles [Plan-Net HealthcareService] Supported Searches [location, coverage-area, organization, endpoint, name, service-category, service-type, specialty, _id, _lastUpdated]""",SHALL,Server,False,NONE,RESTful Capabilities by Resource/Profile: Summary of Search Criteria,,,
"""Supported `_includes` [HealthcareService:location, HealthcareService:coverage-area, HealthcareService:organization, HealthcareService:endpoint]""",SHALL,Server,False,NONE,RESTful Capabilities by Resource/Profile: Summary of Search Criteria,,,
"""Supported `_revincludes` [PractitionerRole:service, OrganizationAffiliation:service]""",SHALL,Server,False,NONE,RESTful Capabilities by Resource/Profile: Summary of Search Criteria,,,
"""A Server SHALL support search-type, read.""",SHALL,Server,False,NONE,Location Profile Interaction Summary,,,
"""A Server SHOULD support vread.""",SHOULD,Server,False,NONE,Location Profile Interaction Summary,,,
"""A Server SHALL be capable of returning a Location resource using: GET [base]/Location/[id]""",SHALL,Server,False,NONE,Location Fetch and Search Criteria,,,
"""A Server SHOULD be capable of returning a Location resource using: GET [base]/Location/[id]/_history/vid""",SHOULD,Server,False,NONE,Location Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: Location:endpoint - GET [base]/Location?[parameter=value]&_include=Location:endpoint""",SHALL,Server,False,NONE,Location Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: Location:organization - GET [base]/Location?[parameter=value]&_include=Location:organization""",SHALL,Server,False,NONE,Location Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: Location:partof - GET [base]/Location?[parameter=value]&_include=Location:partof""",SHALL,Server,False,NONE,Location Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _revincludes: HealthcareService:location - GET [base]/Location?[parameter=value]&_revinclude=HealthcareService:location""",SHALL,Server,False,NONE,Location Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _revincludes: InsurancePlan:coverage-area - GET [base]/Location?[parameter=value]&_revinclude=InsurancePlan:coverage-area""",SHALL,Server,False,NONE,Location Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _revincludes: OrganizationAffiliation:location - GET [base]/Location?[parameter=value]&_revinclude=OrganizationAffiliation:location""",SHALL,Server,False,NONE,Location Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _revincludes: PractitionerRole:location - GET [base]/Location?[parameter=value]&_revinclude=PractitionerRole:location""",SHALL,Server,False,NONE,Location Fetch and Search Criteria,,,
"""A Server SHALL support the [partof] reference search parameter: GET [base]/Location?partof=[partof]""",SHALL,Server,False,NONE,Location Search Parameter Summary,,,
"""A Server SHALL support the [organization] reference search parameter: GET [base]/Location?organization=[organization]""",SHALL,Server,False,NONE,Location Search Parameter Summary,,,
"""A Server SHALL support the [endpoint] reference search parameter: GET [base]/Location?endpoint=[endpoint]""",SHALL,Server,False,NONE,Location Search Parameter Summary,,,
"""A Server SHALL support the [address-city] string search parameter: GET [base]/Location?address-city=[address-city]""",SHALL,Server,False,NONE,Location Search Parameter Summary,,,
"""A Server SHALL support the [address-state] string search parameter: GET [base]/Location?address-state=[address-state]""",SHALL,Server,False,NONE,Location Search Parameter Summary,,,
"""A Server SHALL support the [address-postalcode] string search parameter: GET [base]/Location?address-postalcode=[address-postalcode]""",SHALL,Server,False,NONE,Location Search Parameter Summary,,,
"""A Server SHALL support the [address] string search parameter: GET [base]/Location?address=[address]""",SHALL,Server,False,NONE,Location Search Parameter Summary,,,
"""A Server SHALL support the [type] token search parameter: GET [base]/Location?type=[system] [code]""",SHALL,Server,False,NONE,Location Search Parameter Summary,,,
"""A Server SHALL support the [_id] token search parameter: GET [base]/Location?_id=[id]""",SHALL,Server,False,NONE,Location Search Parameter Summary,,,
"""A Server SHALL support the [_lastUpdated] date search parameter: GET [base]/Location?_lastUpdated=[_lastUpdated]""",SHALL,Server,False,NONE,Location Search Parameter Summary,,,
"""Supported Profiles: [Plan-Net Network](StructureDefinition-plannet-Network.html), [Plan-Net Organization](StructureDefinition-plannet-Organization.html)""",SHALL,Server,False,NONE,Organization Section,,,
"""Reference Policy: `resolves`""",SHALL,Server,False,NONE,Organization Section,,,
"""SHALL support `search-type`, `read`.""",SHALL,Server,False,NONE,Profile Interaction Summary,,,
"""SHOULD support `vread`.""",SHOULD,Server,False,NONE,Profile Interaction Summary,,,
"""A Server SHALL be capable of returning a Organization resource using: `GET [base]/Organization/[id]`""",SHALL,Server,False,NONE,Fetch and Search Criteria,,,
"""A Server SHOULD be capable of returning a Organization resource using: `GET [base]/Organization/[id]/_history/vid`""",SHOULD,Server,False,NONE,Fetch and Search Criteria,,,
"""A Server SHALL be capable of supporting the following _includes: Organization:partof - `GET [base]/Organization?[parameter=value]&_include=Organization:partof`""",SHALL,Server,False,NONE,Fetch and Search Criteria,,,
"""GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:primary-organization""",IMPLIED,Client,False,NONE,OrganizationAffiliation:primary-organization,,,
"""GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:participating-organization""",IMPLIED,Client,False,NONE,OrganizationAffiliation:participating-organization,,,
"""GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:location""",IMPLIED,Client,False,NONE,OrganizationAffiliation:location,,,
"""GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:service""",IMPLIED,Client,False,NONE,OrganizationAffiliation:service,,,
"""GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:endpoint""",IMPLIED,Client,False,NONE,OrganizationAffiliation:endpoint,,,
"""GET [base]/OrganizationAffiliation?[parameter=value]&_include=OrganizationAffiliation:network""",IMPLIED,Client,False,NONE,OrganizationAffiliation:network,,,
"""GET [base]/OrganizationAffiliation?primary-organization=[primary-organization]""",SHALL,Server,False,NONE,SearchParameter-organizationaffiliation-primary-organization,,,
"""GET [base]/OrganizationAffiliation?participating-organization=[participating-organization]""",SHALL,Server,False,NONE,SearchParameter-organizationaffiliation-participating-organization,,,
"""GET [base]/OrganizationAffiliation?location=[location]""",SHALL,Server,False,NONE,SearchParameter-organizationaffiliation-location,,,
"""GET [base]/OrganizationAffiliation?service=[service]""",SHALL,Server,False,NONE,SearchParameter-organizationaffiliation-service,,,
"""GET [base]/OrganizationAffiliation?network=[network]""",SHALL,Server,False,NONE,SearchParameter-organizationaffiliation-network,,,
"""GET [base]/OrganizationAffiliation?endpoint=[endpoint]""",SHALL,Server,False,NONE,SearchParameter-organizationaffiliation-endpoint,,,
"""GET [base]/OrganizationAffiliation?role=[system] [code]""",SHALL,Server,False,NONE,SearchParameter-organizationaffiliation-role,,,
"""GET [base]/OrganizationAffiliation?specialty=[system] [code]""",SHALL,Server,False,NONE,SearchParameter-organizationaffiliation-specialty,,,
"""GET [base]/OrganizationAffiliation?_id=[id]""",SHALL,Server,False,NONE,_id,,,
"""GET [base]/OrganizationAffiliation?_lastUpdated=[_lastUpdated]""",SHALL,Server,False,NONE,_lastUpdated,,,
"""Systems conforming to this implementation guide are expected to declare conformance to one or more of the following capability statements.""",Expected,Systems conforming to this implementation guide,False,NONE,Behavior: Capability Statements,,,
"""This Section describes the expected capabilities of the Plan-Net Server actor which is responsible for providing responses to the queries submitted by the Plan-Net Requestors.""",Expected,Plan-Net Server,False,NONE,Plan-Net CapabilityStatement,,,
"""The complete list of FHIR profiles, RESTful operations, and search parameters supported by Plan-Net Servers are defined.""",Defined,Plan-Net Servers,False,NONE,Plan-Net CapabilityStatement,,,
"""Systems implementing this capability statement should meet the CMS FInal Rule requirement for provider directory access.""",SHOULD,Systems implementing this capability statement,False,NONE,Plan-Net CapabilityStatement,,,
"""Plan-Net Clients can use the required capabilities to access necessary data based on their local use cases and other contextual requirements.""",CAN,Plan-Net Clients,True,NONE,Plan-Net CapabilityStatement,,,
"""Select HealthcareServices providing the specified category of services""",Required,Client,False,NONE,Plannet_sp_healthcareservice_category,,,
"""Select HealthcareServices of the specified type""",Required,Client,False,NONE,Plannet_sp_healthcareservice_type,,,
"""Select services associated with the specified specialty""",Required,Client,False,NONE,Plannet_sp_healthcareservice_specialty,,,
"""Select products that are administered by the specified organization""",Required,Client,False,NONE,Plannet_sp_insuranceplan_administered_by,,,
"""Select products that are offered in the specified location""",Required,Client,False,NONE,Plannet_sp_insuranceplan_coverage_area,,,
"""Select products with the specified identifier""",Required,Client,False,NONE,Plannet_sp_insuranceplan_identifier,,,
"""Select products with the specified name""",Required,Client,False,NONE,Plannet_sp_insuranceplan_name,,,
"""Select products that are owned by the specified organization""",Required,Client,False,NONE,Plannet_sp_insuranceplan_owned_by,,,
"""The technical details of an endpoint that can be used for electronic services, such as a portal or FHIR REST services, messaging or operations, or DIRECT messaging.""",SHALL,Server,False,NONE,Plan-Net Endpoint section,,,
"""The HealthCareService resource typically describes services offered by an organization/practitioner at a location.""",SHOULD,Server,False,NONE,Plan-Net HealthcareService StructureDefinition,,,
"""The [HealthCareService] resource may be used to encompass a variety of services covering the entire healthcare spectrum, including promotion, prevention, diagnostics, pharmacy, hospital and ambulatory care, home care, long-term care, and other health-related and community services.""",MAY,Server,False,NONE,Plan-Net HealthcareService StructureDefinition,,,
"""An InsurancePlan is a discrete package of health insurance coverage benefits that are offered under a particular network type.""",SHALL,Server,False,NONE,Plan-Net InsurancePlan StructureDefinition,,,
"""A given payer’s products typically differ by network type and/or covered benefits.""",SHOULD,Server,False,NONE,Plan-Net InsurancePlan StructureDefinition,,,
"""A plan pairs a product’s covered benefits with the particular cost sharing structure offered to a consumer.""",SHALL,Server,False,NONE,Plan-Net InsurancePlan StructureDefinition,,,
"""A given product may comprise multiple plans (i.e. each plan offers different cost sharing requirements for the same set of covered benefits).""",MAY,Server,False,NONE,Plan-Net InsurancePlan StructureDefinition,,,
"""InsurancePlan describes a health insurance offering comprised of a list of covered benefits (i.e. the product), costs associated with those benefits (i.e. the plan), and additional information about the offering, such as who it is owned and administered by, a coverage area, contact information, etc.""",SHALL,Server,False,NONE,Plan-Net InsurancePlan StructureDefinition,,,
"""These define new code systems used by systems conforming to this implementation guide""",SHALL,System,False,NONE,Terminology: Code Systems,,,
"""[Accepting Patients Codes] Codes to identify if the practice is accepting new patients.""",SHALL,System,False,NONE,Terminology: Code Systems,,,
"""[Accessibility CS] General categories of accommodations available.""",SHALL,System,False,NONE,Terminology: Code Systems,,,
"""[Delivery Methods] Categories of healthcare service delivery methods.""",SHALL,System,False,NONE,Terminology: Code Systems,,,
"""[Endpoint Connection Types (additional)] Extension codes for http://terminology.hl7.org/CodeSystem/endpoint-connection-type""",SHALL,System,False,NONE,Terminology: Code Systems,,,
"""[Endpoint Payload Types] Endpoint Payload Types are constrained to NA (Not Applicable) as part of this IG""",SHALL,System,False,NONE,Terminology: Code Systems,,,
"""[Healthcare Service Category] Broad categories of healthcare services being performed or delivered""",SHALL,System,False,NONE,Terminology: Code Systems,,,
"""[Insurance Plan Type] Categories of cost-sharing used by plans""",SHALL,System,False,NONE,Terminology: Code Systems,,,
"""[Insurance Product Type] A distinct package of health insurance coverage benefits that are offered using a particular product network type.""",SHALL,System,False,NONE,Terminology: Code Systems,,,
"""[Language Proficiency CS] Codes for documenting spoken language proficiency based on the Interagency Language Roundtable scale of abilities to communicate in a language.""",SHALL,System,False,NONE,Terminology: Code Systems,,,
"""[Organization Type] Categories of organizations based on criteria in provider directories.""",SHALL,System,False,NONE,Terminology: Code Systems,,,
"""[Organization Affiliation Role] Codes For Organization Affiliation Role""",SHALL,System,False,NONE,Terminology: Code Systems,,,
"""[Provider Role Codes] A capability that an individual, group, or organization is acknowledged to have in a payer network.""",SHALL,System,False,NONE,Terminology: Code Systems,,,
"""[Qualification Status] The state indicating if a qualification is currently valid.""",SHALL,System,False,NONE,Terminology: Code Systems,,,
"""[Virtual Modalities] Categories of virtual service delivery modalities.""",SHALL,System,False,NONE,Terminology: Code Systems,,,
